Title,ReleaseDate,TypeCode,Price,Size,DLCName,Hash
[Rocksmith 2014 Edition],2019/11/12,30,2.99,5,Daughtry - Home,D2DB40C0B8D5D21859B921E767295E1F86FB681358
[Rocksmith 2014 Edition],2018/10/30,30,9.99,23,Ghost Song Pack,E7417B28328073792676EF53AFA53DE4DD67812758
[Rocksmith 2014 Edition],2017/01/10,30,7.99,9,60s Mix Song Pack II,F28F6B97984D3C19508D3DAA1F8A40B7DBDD9DF658
[Rocksmith 2014 Edition],2019/11/26,30,2.99,5,Pat Benatar - Hell is for Children,D7DFD3CDDDD82E3928895C4E08609616F4528BFC58
[Rocksmith 2014 Edition],2019/12/03,30,2.99,4,Weezer - Beverly Hills,A574DACAF6DFB07F0FF0ECED99543DED3E7449C858
[Rocksmith 2014 Edition],2017/06/13,30,11.99,24,Live Song Pack,BF903E729E6FA1C72F7DB0CBA32B1E4CDC12C58F58
[Rocksmith 2014 Edition],2018/06/19,30,2.99,5,Radiohead - Street Spirit (Fade Out),51BE600B1A42D0C003BFD05AB7446531707F0F9858
[Rocksmith 2014 Edition],2017/12/19,30,11.99,17,Johnny Cash Song Pack II,17160CA14A91FEE49636338CDC7DCBD5E98AB5C058
[Rocksmith 2014 Edition],2017/05/16,30,11.99,27,Grateful Dead Song Pack,AD7B80B72CC6E0488F15994175C7A24BFFD5CCD458
[Rocksmith 2014 Edition],2018/09/11,30,7.99,20,90s Mix Song Pack V,8A7094C58A946CD9251E5CB0A4CA7C8E02738EEB58
[Rocksmith 2014 Edition],2016/11/29,30,2.99,5,Third Eye Blind - How's It Going To Be,844197DBF8BEE79EF42F65ABEA647100E2A3D20158
[Rocksmith 2014 Edition],2019/05/28,30,7.99,13,5 Seconds of Summer Song Pack,8F5B3BC926B690EB1CEF82E6468055FE32FCB04058
[Rocksmith 2014 Edition],2018/10/23,30,2.99,5,Poison - Fallen Angel,40D689C29514550A1E52DF0B34B1FE1F440358F458
[Rocksmith 2014 Edition],2017/06/27,30,9.99,18,Alabama Shakes Song Pack,78960B4C6DF9108DDDDBEF1FA50E448F9A44ABD058
[Rocksmith 2014 Edition],2017/11/14,30,2.99,5,The Pretenders - Middle of the Road,B034DCFDD9B2473F24397D1AC617AFC442F3179758
[Rocksmith 2014 Edition],2017/08/15,30,9.99,10,Muddy Waters Song Pack,0BD64BE1CC82A0AB1CA4D927EB79B0DB56FCAC3B58
[Rocksmith 2014 Edition],2019/10/29,30,2.99,3,The Zombies - Tell Her No,899D28DE9620AD1F512CE3BF025BE0D869B716A558
[Rocksmith 2014 Edition],2018/07/17,30,2.99,4,The Proclaimers - I'm Gonna Be (500 Miles),4EFA94512D0028D523B43FE4738D302BDDF9A3FE58
[Rocksmith 2014 Edition],2019/04/02,30,7.99,16,Roxette Song Pack,38AF4B4716B4E0BDC7478C5DC58EC40B9B843C5458
[Rocksmith 2014 Edition],2018/01/09,30,2.99,4,Paramore - Still Into You,61EC6E5FCD1D4ACFC7B4C988D9DA9F5D12C3605358
[Rocksmith 2014 Edition],2017/11/07,30,2.99,3,NOFX - Stickin' in My Eye,D31BB3A3B0783597A8BFFCDBA66B5C7C6CAF19EF58
[Rocksmith 2014 Edition],2017/10/24,30,2.99,4,Colin Hay of Men at Work - Down Under 2012,35B21B6B7E773AEF81ECE7ABD6A0B057ACF0F22358
[Rocksmith 2014 Edition],2018/01/30,30,7.99,20,70s Mix Song Pack III,FAF9B3B7DBF270A862608461CD05D48D4C5F479F58
[Rocksmith 2014 Edition],2019/08/13,30,2.99,6,Gary Moore - Over the Hills and Far Away,044E1C8CE599E04251C03AE9E9EBB1589B7646DB58
[Rocksmith 2014 Edition],2017/12/19,30,2.99,3,Johnny Cash - Hey Porter,45040221A77394B30C577D7C67BC99F05A323C2A58
[Rocksmith 2014 Edition],2018/12/04,30,7.99,12,Alice Cooper Song Pack,D2B3EE51D20BA2860F97F9C2E1913B6B518B929F58
[Rocksmith 2014 Edition],2016/11/08,30,2.99,4,Kenny Loggins - Danger Zone,F0C7584A29BDACB8C5A2817786FAF99C086AFC3958
[Rocksmith 2014 Edition],2020/03/10,30,2.99,4,Sixx:A.M. - This Is Gonna Hurt,0EE1D3FB25FEACA2DAA5A8B0BF5024FB441AC75C58
[Rocksmith 2014 Edition],2019/01/15,30,2.99,4,Paramore - Ignorance,DC9E7FFEC359C0504D5E772E98E311A66DB1978358
[Rocksmith 2014 Edition],2018/04/17,30,2.99,5,Stereophonics - Maybe Tomorrow,7EA4F0039E1B27E486986CD5D29E6B1DB76BC50B58
[Rocksmith 2014 Edition],2017/05/02,30,2.99,3,Blue Swede - Hooked on a Feeling,AC639426DCED5D6E8637699F3E13AC06FA1B4CE258
[Rocksmith 2014 Edition],2019/05/14,30,2.99,5,P.O.D. - Youth of the Nation,7D6780555E3186A38D2E2217676B1CE99A40FBBA58
[Rocksmith 2014 Edition],2017/07/25,30,2.99,5,Marilyn Manson - The Beautiful People,91136EF509D16597907376DDC11FCDE4B836D0D658
[Rocksmith 2014 Edition],2017/09/12,30,7.99,13,80s Mix Song Pack IV,0E73FC3D75B93DE40447CB172D98C0A2103F83B058
[Rocksmith 2014 Edition],2016/10/04,30,2.99,4,Bob Marley & The Wailers - Three Little Birds,0E7D9EAD0C9EE36BB3DAF6C55B9D4EE240A938AE58
[Rocksmith 2014 Edition],2018/01/16,30,2.99,4,Green Day - Know Your Enemy,6BE34966E11FC4C4B432EAB0DE30208D7652894858
[Rocksmith 2014 Edition],2016/10/04,30,2.99,5,OutKast - Hey Ya!,E3A920EA906851214E064D91AB75910C6FC1453458
[Rocksmith 2014 Edition],2017/01/17,30,11.99,21,blink-182  Song Pack II,26559BF6DB6CB032D3FE35FA6D99AFA76741671758
[Rocksmith 2014 Edition],2017/12/19,30,2.99,3,Johnny Cash - Big River,97CAC77745AB537967CA6368700E7C4E8697266B58
[Rocksmith 2014 Edition],2017/05/30,30,2.99,4,New Found Glory - My Friends Over You,42F2B345E4082C3D402F29408773554FB56AE40658
[Rocksmith 2014 Edition],2017/11/07,30,2.99,3,NOFX - Linoleum,D36A5F4D06C07B0AE21159BCF56E08C506872CF258
[Rocksmith 2014 Edition],2019/11/19,30,2.99,4,Freddie King - Going Down,692B1F1D316F6C9FB24D8D320050E8F16C0F31D558
[Rocksmith 2014 Edition],2019/06/18,30,2.99,4,Reel Big Fish - Take On Me,7DB99A99BAA170701855918D32ED10E845BAF8A758
[Rocksmith 2014 Edition],2017/09/26,30,9.99,19,Rockin' Covers Song Pack,8DB8D5F22AE285FB8860BCA08365F032DB5C6D2558
[Rocksmith 2014 Edition],2019/01/29,30,2.99,5,Queen - Somebody to Love,023A2B7D5DBCF0E42055EBE9D45638775EE77D0F58
[Rocksmith 2014 Edition],2018/07/24,30,2.99,6,"Joni Mitchell - Both Sides, Now",27B5EA54DC52C41CCCF50EF335C4743D549950B258
[Rocksmith 2014 Edition],2017/11/14,30,2.99,5,The Pretenders - Don't Get Me Wrong,087AF5ABA34B3D2F29AFA4CD81D2C1D2EB277CC858
[Rocksmith 2014 Edition],2017/04/04,30,2.99,5,Pearl Jam - Rearviewmirror,25A0C6CCE9F4409F2DE190B1E39D1A4530B5AC7E58
[Rocksmith 2014 Edition],2017/04/04,30,11.99,24,Pearl Jam Song Pack II,BAC838B157DE96A72D748FF7CF1C126F668BED9558
[Rocksmith 2014 Edition],2019/04/09,30,7.99,13,Cat Stevens Song Pack,5A017F9DCEA524073BF235C3AD82469E68E0B0B758
[Rocksmith 2014 Edition],2017/02/28,30,2.99,5,Kasabian - Underdog,DBDEDD6FCCAE7E6B7872B506C6C9726693061EDC58
[Rocksmith 2014 Edition],2018/08/21,30,2.99,5,Silverstein - Smashed into Pieces,7CC8F9E4087A91986AD75E96B3F56311E20B2E2758
[Rocksmith 2014 Edition],2017/08/01,30,2.99,3,The Monkees - Valleri,69A44FAF747E8F84BE182DEF049573EC50F5918358
[Rocksmith 2014 Edition],2017/07/05,30,7.99,17,70s Mix Song Pack II,BD70450B97A949518A3074975B3FE9D99B27DE3258
[Rocksmith 2014 Edition],2017/04/11,30,2.99,5,James Bay - Let It Go,F41A8F7DD72C72544CDC4D8622EFDAA8D7EE266458
[Rocksmith 2014 Edition],2020/03/24,30,2.99,4,Janis Joplin/Big Brother & The Holding Co. - Piece of My Heart,29EE015BF6F45A89F860A118FB2C6EB1B42EED5158
[Rocksmith 2014 Edition],2018/05/15,30,2.99,6,Interpol - PDA,42BC0A87B790D57AE9A84DFBAEA8E9C3E8FE405B58
[Rocksmith 2014 Edition],2017/04/18,30,2.99,4,Bob Marley & The Wailers - Redemption Song,343BFF3A5584A16A8E6C0EEAB6A2AA1C93490CD358
[Rocksmith 2014 Edition],2017/10/31,30,2.99,6,Amon Amarth - War of the Gods,693BE9D8186B6A1A7689C95A925E2C7296C6FC8158
[Rocksmith 2014 Edition],2019/08/13,30,2.99,5,Gary Moore - Still Got the Blues,5B27A4355098ECC39E804566FD2B147C4A319B8958
[Rocksmith 2014 Edition],2017/05/23,30,2.99,4,Queen- I Want It All,223685AEB6247C68103C16A5B1B45CB0570166B358
[Rocksmith 2014 Edition],2016/10/18,30,2.99,8,Yes - I've Seen All Good People,6BA5E2D6F3171EB9226FDAB0864711FACF15E0BD58
[Rocksmith 2014 Edition],2018/01/23,30,7.99,14,Mumford & Sons Song Pack,1A33BBAE1DDBF54242DA06CA3B168E70A415D87A58
[Rocksmith 2014 Edition],2017/12/05,30,2.99,5,Steve Miller Band - Rock'n Me,CE2CBB0C9CA883C1C9CE4DE9300890A8B2CB32CA58
[Rocksmith 2014 Edition],2018/03/27,30,7.99,13,The Cardigans Song Pack,8DC9D8F2ED2AD7D36AF0C1E660358B28EF4F4F0358
